institution_name,PARTIC_MEN,PARTIC_WOMEN,REV_MEN,REV_WOMEN,Sports,Basketball Women,Track and Field Women,Volleyball Women,Soccer Women,Softball Women,Sports
Chowan University,30.0,28.0,375294.0,330903.0,Soccer,,,,,,
Chowan University,,26.0,,274509.0,Softball,,,,,,
Chowan University,15.0,19.0,157670.0,184871.0,Swimming,,,,,,
Chowan University,10.0,5.0,122783.0,159833.0,Tennis,,,,,,
Chowan University,9.0,5.0,22249.0,36592.0,"Track and Field, X-Country",,,,,,
Chowan University,,15.0,,185448.0,Volleyball,,,,,,
Chowan University,8.0,,58150.0,,Other Sports,,,,,,
Cleveland Community College,45.0,,120008.0,,Baseball,,,,,,
Cleveland Community College,,15.0,,59972.0,Softball,,,,,,
Cleveland Community College,6.0,2.0,7191.0,4663.0,"Track and Field, X-Country",,,,,,
Davidson County Community College,15.0,,91514.0,,Basketball,,,,,,
Davidson County Community College,7.0,,19732.0,,Golf,,,,,,
Davidson County Community College,,10.0,,31464.0,Volleyball,,,,,,
Davidson College,38.0,,1210590.0,,Baseball,,,,,,
Davidson College,14.0,15.0,2655050.0,2039659.0,Basketball,,,,,,
Davidson College,81.0,114.0,414146.0,472510.0,All Track Combined,,,,,,
Davidson College,,26.0,,480333.0,Field Hockey,,,,,,
Davidson College,93.0,,1598924.0,,Football,,,,,,
Davidson College,9.0,,576615.0,,Golf,,,,,,
Davidson College,,34.0,,642267.0,Lacrosse,,,,,,
Davidson College,31.0,33.0,567132.0,596263.0,Soccer,,,,,,
Davidson College,27.0,27.0,442619.0,357442.0,Swimming and Diving,,,,,,
Davidson College,12.0,10.0,434727.0,343658.0,Tennis,,,,,,
Davidson College,,16.0,,449917.0,Volleyball,,,,,,
Davidson College,20.0,,490943.0,,Wrestling,,,,,,
Duke University,43.0,,1987001.0,,Baseball,,,,,,
Duke University,15.0,14.0,22513062.0,3395867.0,Basketball,,,,,,
Duke University,110.0,108.0,1212366.0,2560289.0,All Track Combined,,,,,,
Duke University,19.0,23.0,92438.0,674748.0,Fencing,,,,,,
Duke University,,21.0,,1542375.0,Field Hockey,,,,,,
Duke University,116.0,,37347689.0,,Football,,,,,,
Duke University,11.0,6.0,773243.0,988244.0,Golf,,,,,,
Duke University,52.0,35.0,2318009.0,1841093.0,Lacrosse,,,,,,
Duke University,,49.0,,2772807.0,Rowing,,,,,,
Duke University,28.0,23.0,1438462.0,2233304.0,Soccer,,,,,,
Duke University,,22.0,,1676159.0,Softball,,,,,,
Duke University,23.0,28.0,160958.0,1917725.0,Swimming and Diving,,,,,,
Duke University,11.0,8.0,670125.0,1242580.0,Tennis,,,,,,
Duke University,,16.0,,1573141.0,Volleyball,,,,,,
Duke University,23.0,,99872.0,,Wrestling,,,,,,
East Carolina University,40.0,,2229967.0,,Baseball,,,,,,
East Carolina University,18.0,17.0,2942024.0,1985393.0,Basketball,,,,,,
East Carolina University,59.0,124.0,569405.0,924950.0,All Track Combined,,,,,,
East Carolina University,120.0,,9671118.0,,Football,,,,,,
East Carolina University,11.0,7.0,362221.0,435840.0,Golf,,,,,,
East Carolina University,,40.0,,758035.0,Lacrosse,,,,,,
East Carolina University,,34.0,,814649.0,Soccer,,,,,,
East Carolina University,,25.0,,955263.0,Softball,,,,,,
East Carolina University,,16.0,,693916.0,Volleyball,,,,,,
Elizabeth City State University,,15.0,,37655.0,Softball,,,,,,
Elon University,41.0,,1270845.0,,Baseball,,,,,,
Elon University,17.0,14.0,2080050.0,1670170.0,Basketball,,,,,,
Elon University,,115.0,,1267968.0,All Track Combined,,,,,,
Elon University,101.0,,5386658.0,,Football,,,,,,
Elon University,11.0,12.0,397401.0,362604.0,Golf,,,,,,
Elon University,,32.0,,958622.0,Lacrosse,,,,,,
Elon University,30.0,31.0,799029.0,978054.0,Soccer,,,,,,
Elon University,,22.0,,924529.0,Softball,,,,,,
Elon University,11.0,9.0,406044.0,560114.0,Tennis,,,,,,
Elon University,13.0,,161324.0,,"Track and Field, X-Country",,,,,,
Elon University,,17.0,,830592.0,Volleyball,,,,,,
Fayetteville Technical Community College,35.0,,137069.0,,Baseball,,,,,,
Fayetteville Technical Community College,15.0,10.0,50918.0,36318.0,Basketball,,,,,,
Fayetteville Technical Community College,,17.0,,71688.0,Softball,,,,,,
Fayetteville Technical Community College,,8.0,,42949.0,Volleyball,,,,,,
Fayetteville State University,6.0,,45536.0,,Golf,,,,,,
Fayetteville State University,,16.0,,62217.0,Softball,,,,,,
Gardner-Webb University,50.0,,819191.0,,Baseball,,,,,,
Gardner-Webb University,15.0,14.0,1375932.0,1125134.0,Basketball,,,,,,
Gardner-Webb University,26.0,31.0,388474.0,496695.0,All Track Combined,,,,,,
Gardner-Webb University,101.0,,3668276.0,,Football,,,,,,
Gardner-Webb University,13.0,7.0,230808.0,237565.0,Golf,,,,,,
Gardner-Webb University,,30.0,,487151.0,Lacrosse,,,,,,
Gardner-Webb University,63.0,35.0,562091.0,654999.0,Soccer,,,,,,
Gardner-Webb University,,28.0,,733755.0,Softball,,,,,,
Gardner-Webb University,25.0,20.0,431492.0,493830.0,Swimming,,,,,,
Gardner-Webb University,10.0,9.0,267346.0,407712.0,Tennis,,,,,,
Gardner-Webb University,,16.0,,519059.0,Volleyball,,,,,,
