institution_name,PARTIC_MEN,PARTIC_WOMEN,REV_MEN,REV_WOMEN,Sports,Basketball Women,Track and Field Women,Volleyball Women,Soccer Women,Softball Women,Sports
University of North Carolina at Pembroke,19.0,15.0,342395.0,260088.0,Basketball,,,,,,
University of North Carolina at Pembroke,92.0,97.0,140844.0,190821.0,All Track Combined,,,,,,
University of North Carolina at Pembroke,113.0,,773681.0,,Football,,,,,,
University of North Carolina at Pembroke,,7.0,,108196.0,Golf,,,,,,
University of North Carolina at Pembroke,,22.0,,254190.0,Soccer,,,,,,
University of North Carolina at Pembroke,,23.0,,202403.0,Softball,,,,,,
University of North Carolina at Pembroke,,18.0,,83236.0,Swimming,,,,,,
University of North Carolina at Pembroke,,16.0,,176713.0,Volleyball,,,,,,
University of North Carolina at Pembroke,44.0,,186463.0,,Wrestling,,,,,,
Pfeiffer University,50.0,,232626.0,,Baseball,,,,,,
Pfeiffer University,35.0,13.0,115368.0,111688.0,Basketball,,,,,,
Pfeiffer University,8.0,6.0,66943.0,57200.0,Golf,,,,,,
Pfeiffer University,35.0,17.0,128982.0,100059.0,Lacrosse,,,,,,
Pfeiffer University,31.0,21.0,127606.0,121731.0,Soccer,,,,,,
Pfeiffer University,,20.0,,145494.0,Softball,,,,,,
Pfeiffer University,,8.0,,114684.0,Swimming,,,,,,
Pfeiffer University,6.0,8.0,42631.0,36768.0,Tennis,,,,,,
Pfeiffer University,12.0,11.0,22981.0,20980.0,"Track and Field, Indoor",,,,,,
Pfeiffer University,12.0,13.0,22981.0,20980.0,"Track and Field, Outdoor",,,,,,
Pfeiffer University,6.0,4.0,32174.0,31408.0,"Track and Field, X-Country",,,,,,
Pfeiffer University,,14.0,,103196.0,Volleyball,,,,,,
Pitt Community College,31.0,,91235.0,,Baseball,,,,,,
Pitt Community College,,16.0,,63109.0,Softball,,,,,,
Queens University of Charlotte,54.0,,633841.0,,Baseball,,,,,,
Queens University of Charlotte,17.0,22.0,930706.0,695323.0,Basketball,,,,,,
Queens University of Charlotte,92.0,97.0,544528.0,649387.0,All Track Combined,,,,,,
Queens University of Charlotte,,21.0,,332748.0,Field Hockey,,,,,,
Queens University of Charlotte,13.0,10.0,285556.0,272434.0,Golf,,,,,,
Queens University of Charlotte,58.0,32.0,715509.0,561210.0,Lacrosse,,,,,,
Queens University of Charlotte,33.0,29.0,516015.0,593962.0,Soccer,,,,,,
Queens University of Charlotte,,23.0,,447211.0,Softball,,,,,,
Queens University of Charlotte,66.0,50.0,615117.0,532168.0,Swimming and Diving,,,,,,
Queens University of Charlotte,17.0,13.0,266445.0,319540.0,Tennis,,,,,,
Queens University of Charlotte,19.0,19.0,313441.0,409619.0,Volleyball,,,,,,
Queens University of Charlotte,20.0,,275607.0,,Wrestling,,,,,,
Queens University of Charlotte,,66.0,,811110.0,Other Sports,,,,,,
Mid-Atlantic Christian University,27.0,,78310.0,,Baseball,,,,,,
Mid-Atlantic Christian University,12.0,13.0,41033.0,48683.0,Basketball,,,,,,
Mid-Atlantic Christian University,1.0,,9613.0,,Golf,,,,,,
Rockingham Community College,33.0,,65032.0,,Baseball,,,,,,
Rockingham Community College,,3.0,,4234.0,Other Sports,,,,,,
Saint Augustine's University,7.0,2.0,112584.0,100361.0,"Track and Field, Outdoor",,,,,,
Sandhills Community College,15.0,,73708.0,,Basketball,,,,,,
Sandhills Community College,10.0,,26717.0,,Golf,,,,,,
Sandhills Community College,3.0,,8077.0,,"Track and Field, X-Country",,,,,,
Sandhills Community College,,12.0,,34348.0,Volleyball,,,,,,
Sandhills Community College,,11.0,,9000.0,Beach Volleyball,,,,,,
Shaw University,37.0,29.0,270328.0,264702.0,Soccer,,,,,,
Shaw University,,10.0,,83517.0,Softball,,,,,,
Shaw University,6.0,7.0,133428.0,164616.0,Tennis,,,,,,
Shaw University,,21.0,,130596.0,"Track and Field, Outdoor",,,,,,
St. Andrews University,47.0,,708769.0,,Baseball,,,,,,
St. Andrews University,33.0,15.0,514491.0,211684.0,Basketball,,,,,,
St. Andrews University,123.0,,2140917.0,,Football,,,,,,
St. Andrews University,8.0,4.0,125299.0,102926.0,Golf,,,,,,
St. Andrews University,41.0,20.0,651928.0,252086.0,Lacrosse,,,,,,
St. Andrews University,51.0,25.0,419131.0,425415.0,Soccer,,,,,,
St. Andrews University,,19.0,,357181.0,Softball,,,,,,
St. Andrews University,6.0,2.0,94435.0,51935.0,Swimming,,,,,,
St. Andrews University,11.0,4.0,66415.0,45690.0,"Track and Field, Outdoor",,,,,,
St. Andrews University,5.0,5.0,21065.0,11690.0,"Track and Field, X-Country",,,,,,
St. Andrews University,13.0,16.0,276979.0,343087.0,Volleyball,,,,,,
St. Andrews University,16.0,4.0,293542.0,57692.0,Wrestling,,,,,,
St. Andrews University,,,,,Other Sports,,,,,,
St. Andrews University,,17.0,,319656.0,Beach Volleyball,,,,,,
St. Andrews University,,,,,Equestrian,,,,,,
Southeastern Community College,45.0,,55670.0,,Baseball,,,,,,
Southeastern Community College,,13.0,,29789.0,Softball,,,,,,
Surry Community College,32.0,,37897.0,,Baseball,,,,,,
Surry Community College,2.0,1.0,10439.0,5220.0,Golf,,,,,,
Surry Community College,,15.0,,21176.0,Softball,,,,,,
Surry Community College,,13.0,,27587.0,Volleyball,,,,,,
Wake Forest University,37.0,,2596880.0,,Baseball,,,,,,
Wake Forest University,18.0,16.0,5783444.0,3327177.0,Basketball,,,,,,
Wake Forest University,91.0,112.0,1201001.0,1875824.0,All Track Combined,,,,,,
Wake Forest University,,24.0,,1593962.0,Field Hockey,,,,,,
Wake Forest University,126.0,,23073720.0,,Football,,,,,,
Wake Forest University,10.0,10.0,851761.0,1053769.0,Golf,,,,,,
Wake Forest University,35.0,28.0,1829641.0,1611574.0,Soccer,,,,,,
Wake Forest University,21.0,10.0,1293233.0,1044750.0,Tennis,,,,,,
Wake Forest University,,20.0,,1507382.0,Volleyball,,,,,,
Wake Technical Community College,36.0,,79254.0,,Baseball,,,,,,
Warren Wilson College,13.0,13.0,47929.0,45562.0,Basketball,,,,,,
Warren Wilson College,,14.0,,52596.0,Lacrosse,,,,,,
Warren Wilson College,,17.0,,47763.0,Soccer,,,,,,
Warren Wilson College,7.0,8.0,21794.0,22138.0,Swimming,,,,,,
Warren Wilson College,7.0,9.0,14079.0,14974.0,"Track and Field, X-Country",,,,,,
Wingate University,43.0,,664706.0,,Baseball,,,,,,
Wingate University,22.0,19.0,483403.0,626668.0,Basketball,,,,,,
Wingate University,127.0,113.0,519599.0,547190.0,All Track Combined,,,,,,
Wingate University,158.0,,1816208.0,,Football,,,,,,
Wingate University,11.0,11.0,235149.0,337252.0,Golf,,,,,,
Wingate University,53.0,28.0,557295.0,446385.0,Lacrosse,,,,,,
Wingate University,26.0,27.0,416657.0,456456.0,Soccer,,,,,,
Wingate University,,20.0,,437813.0,Softball,,,,,,
Wingate University,35.0,42.0,498326.0,552583.0,Swimming,,,,,,
Wingate University,11.0,12.0,241769.0,252702.0,Tennis,,,,,,
Wingate University,,18.0,,543889.0,Volleyball,,,,,,
Carolina Christian College,28.0,17.0,495973.0,328124.0,Basketball,,,,,,
Winston-Salem State University,,14.0,,292732.0,Softball,,,,,,
Winston-Salem State University,,25.0,,97578.0,"Track and Field, Outdoor",,,,,,
Western Carolina University,38.0,,600098.0,,Baseball,,,,,,
Western Carolina University,16.0,13.0,1129790.0,905605.0,Basketball,,,,,,
Western Carolina University,81.0,96.0,222708.0,305038.0,All Track Combined,,,,,,
Western Carolina University,113.0,,3345040.0,,Football,,,,,,
Western Carolina University,8.0,10.0,266204.0,212692.0,Golf,,,,,,
Western Carolina University,,29.0,,418345.0,Soccer,,,,,,
Western Carolina University,,20.0,,373714.0,Softball,,,,,,
Western Carolina University,,9.0,,208372.0,Tennis,,,,,,
Western Carolina University,,16.0,,408956.0,Volleyball,,,,,,
